No.,Music(Eng),Music(JPN),Other name,Artist(Eng),Artist(JPN),BPM,Category,Version,Requirement,Easy,Basic,Advanced,Expert,Master,Re:Master,Add Date,Later Add Date,Rec. video,Memo,↓,Music(Eng),Music(JPN),Other name,Artist(Eng),Artist(JPN),BPM,Category,Version,Requirement,Easy,Basic,Advanced,Expert,Master,Re:Master,Add Date,Later Add Date,Memo,↑
44,SEHA GA GA GANBATCHAU,セハガガガンバッちゃう！！,-,Hi☆sCoool! Seha Girls,Hi☆sCoool! セハガール,202,POPS&アニメ,maimai PiNK PLUS,-,3,5,7,9+,11+,-,22-Sep-2016,-,Yes,-,,Can Do,Can Do,-,GRANRODEO [PV],GRANRODEO [PV],200,POPS&アニメ,maimai ORANGE PLUS,-,2,4,6,9,11+,-,13-Apr-2015,-,Removed(maimai MiLK),
45,Lovely☆Angel!!,ラブリー☆えんじぇる!!,-,ave;new project feat.Saori Sakura&Miyu Inoue“Twin Angel”,あべにゅうぷろじぇくとfeat.佐倉紗織&井上みゆ「パチスロ快盜天使ツインエンジェル」,173,POPS&アニメ,maimai PiNK,-,2,4,6,8+,10+,-,3-Mar-2016,-,-,-,,The Other self,The Other self,-,GRANRODEO [PV],GRANRODEO [PV],150,POPS&アニメ,maimai ORANGE PLUS,-,2,4,6,9,10+,-,8-Oct-2015,-,Removed(maimai MiLK),
46,Stand Up!!!!,Stand Up!!!!,-,Yua Suzuki(CV:Asuka Nishi)/Hina Sato(CV:Satomi Akesaka)/Aoi Takahashi(CV:Karin Ogino)/Koharu Tanaka(CV:Ayaka Ohashi)/“Tesagure!bukatsumono”,鈴木結愛(CV:西 明日香)/佐藤陽菜(CV:明坂聡美)/高橋 葵(CV:荻野可鈴)/田中心春(CV:大橋彩香)/「てさぐれ！部活もの」[アニメPV],185,POPS&アニメ,maimai ORANGE,-,2,4,6,8+,11,-,18-Sep-2014,-,Yes,-,,Canon,カノン,-,Mamoru Miyano [PV],宮野真守 [PV],208,POPS&アニメ,maimai ORANGE PLUS,-,3,5,7,9,10+,-,8-Oct-2015,-,Removed(maimai MiLK),
47,SHIN HANDSOME TAISOU DE ZUNDOKOHOI,真・ハンサム体操でズンドコホイ,-,"10Re; ""GAKUEN HANDSOME""",10Re;「学園ハンサム」,140,POPS&アニメ,maimai MURASAKi PLUS,-,2,5,6,8+,12,-,19-Sep-2017,-,Yes,-,,Orpheus,オルフェ,-,Mamoru Miyano [PV],宮野真守 [PV],184,POPS&アニメ,maimai ORANGE PLUS,-,2,4,7,9,10,-,13-Apr-2015,-,Removed(maimai MiLK),
48,GET!! YUME&DREAM,GET!! 夢&DREAM,-,"加賀美 祥 ""GAKUEN HANDSOME""",加賀美 祥「学園ハンサム」,150,POPS&アニメ,maimai MURASAKi PLUS,-,2,4,7,8,11,-,19-Sep-2017,-,Yes,-,,-,ヘタリアン☆ジェット,Hetalian ☆ Jet ,-,イタリア (CV.浪川大輔)「ヘタリア The World Twinkle」,132,POPS&アニメ,maimai PiNK PLUS,-,2,4,6,8,10,-,20-Oct-2016,-,Removed(maimai MiLK),
49,Kimi no Shiranai Monogatari,君の知らない物語,-,supercell/“Bakemonogatari”,supercell 「化物語」,165,POPS&アニメ,maimai GreeN,-,3,3,6,8,10,-,11-Jul-2013,-,Yes,-,,Kokoroodoru,ココロオドル,-,nobodyknows+ ［cover］,nobodyknows+ ［cover］,226,POPS&アニメ,maimai ORANGE PLUS,-,2,4,7,8+,11,-,16-Jul-2015,-,Removed(maimai MiLK),
50,connect,コネクト,-,ClariS “PUELLA MAGI MADOKA MAGICA”,ClariS 「魔法少女まどか☆マギカ」,175,POPS&アニメ,maimai,-,2,5,7,7+,10+,-,11-Jul-2012,-,-,-,,naraku within,naraku within,-,Kenji Fujisawa“Team-MAX”,藤澤健至 (Team-MAX) 「ニンジャスレイヤー」,130,POPS&アニメ,maimai ORANGE,-,2,5,7,9,11+,-,4-Dec-2014,-,Removed(maimai MiLK),
51,-,SAVIOR OF SONG,-,-,ナノ feat.MY FIRST STORY,192,POPS&アニメ,maimai ORANGE PLUS,-,3,4,7,9,12,-,8-Oct-2015,-,-,Japan only,,Hotondo ihoukoui,ほとんど違法行為,-,Neko Neko Kawaii,ネコネコカワイイ 「ニンジャスレイヤー」,128,POPS&アニメ,maimai ORANGE,-,2,4,6,8,10+,-,4-Dec-2014,-,Removed(maimai MiLK),
52,Daydream café,Daydream café,-,Petit Rabbit's“Is the order a rabbit?”,Petit Rabbit's「ご注文はうさぎですか？」,150,POPS&アニメ,maimai PiNK PLUS,-,1,4,6,7+,11,-,30-Jun-2016,-,-,-,,-,シリウス,Sirius,-,藍井エイル「キルラキル」[アニメPV],176,POPS&アニメ,maimai ORANGE PLUS,-,2,4,6,8,10,-,19-Mar-2015,-,Removed(maimai MiLK),
53,GOKUJOU SUMAIRU,極上スマイル,-,"Wake Up, Girls！","Wake Up, Girls！",143,POPS&アニメ,maimai PiNK,-,1,4,6,7,9+,-,7-Jan-2016,-,-,-,,Seisyun ha Non-Stop!,青春はNon-Stop！,-,Plasmagica“SHOW BY ROCK!!”,プラズマジカ「SHOW BY ROCK!!」,172,POPS&アニメ,maimai PiNK,-,2,4,6,9,11+,-,3-Mar-2016,-,Removed(maimai MiLK),
